section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
industry_positions,TRUE,Founder and Accounting Manager,Plexlane.com,"Mesa, AZ",2012,2016,"Plexlane provides technology solutions in areas of IT Strategy, Application and ERP implementations and Production Support to small/mid-market companies. Solutions range from Technology Road-mapping, Enterprise PMOs, ERP Implementations, Cloud Solutions, Mobile Solutions (iOS, Android), and Application Production Support.","Key Responsibilities were to oversee Accounting and Finance operations of the company. Manage Accounts Payable, Accounts Receivables, Payroll, Taxes and Cash Flow.",NA
industry_positions,TRUE,Junior Vice President and dealer,State Bank of Inida (SBI) DFHI LTD,"Kolkata, India",2005,2008,State Bank of India (SBI) DFHI Ltd is a State Bank of India group company. It is the market leader in Primary Dealer Segment of domestic debt market.,"The responsibilities included handling of money market, government security market and investment advisory. I have Catered to Co-operative Banks, Commercial Banks in placing call money and Government Paper Auction. Business development and advisory to our constituents and various other parties in regard to their investments were part of the role  along with following the banking and money market regulations. During my tenure I Managed Kolkata Office, which included day-to-day office work and organizing to meet various deadlines. Communicating and coordinating with various departments in corporate office and various branch offices throughout India was a major part of the job.",
industry_positions,TRUE,Wealth Manager,KARVY Consultants LTD,"Kolkata, India",2002,2005,KARVY Groups of Companies is a leader in domestic secondary market in India. It creates a plethora of opportunities for the customers by opening up investment vistas backed by research-based advisory services.,"Key Responsibilities included catering to the needs of Provident and other Constituent Fund Trusts, Charitable Trusts from the Secondary and Primary Debt Market. Managing Portfolios of HNWIs and Institutions and guiding them with their investment portfolio from time to time regarding various investment products like Mutual Funds, Insurance, Equity, Debt, and IPOs etc.",
teaching_positions,FALSE,Statistical Computing in R,Vanderbilt Biostatistics Department,"Nashville, TN",2017,2017,TA and lectured,Covered introduction to R language for statistics applications,Graduate level class
teaching_positions,FALSE,Advanced Statistical Learning and Inference,Vanderbilt Biostatistics Department,"Nashville, TN",2017,2018,TA and lectured,Topics covered from penalized regression to boosted trees and neural networks,Highest level course offered in department
teaching_positions,FALSE,Advanced Statistical Computing,Vanderbilt Biostatistics Department,"Nashville, TN",2018,2018,TA and lectured,Covered modern statistical computing algorithms,4th year PhD level class
teaching_positions,FALSE,Data Visualization Best Practices,DataCamp,N/A,2019,2019,Designed from bottom up course to teach best practices for scientific visualizations.,Uses R and ggplot2.,In top 10% on platform by popularity.
teaching_positions,FALSE,Improving your visualization in Python,DataCamp,N/A,2019,2019,Designed from bottom up course to teach advanced methods for enhancing visualization.,"Uses python, matplotlib, and seaborn.",NA
data_science_writings,TRUE,[Generate wordCloud with keywords in a text paragraph](https://sunaynagoel.github.io/docs/Code-through-assignment-Goel-527.html),Code through,NA,NA,2020,This was developed as a part of the graduate coursework.,This paper contains the steps for developing word-cloud as a data visulaisation tool. ,NA
data_science_writings,TRUE,[Creating animation in R by using the package ggnaimate](https://sunaynagoel.github.io/CV/doc/Code-through-assignment-goel-529.html),Code through,NA,NA,2019,This was developed as a part of the graduate coursework.,The  paper contains the steps for developing animation in R. This is the first step in creation of GIFs.,NA
data_science_writings,TRUE,[Creating viewer firendly table in R](https://sunaynagoel.github.io/CV/doc/codethroughassignment-Goel.html),Code through,NA,NA,2019,This was developed as a part of the graduate coursework.,The paper contains the steps for creating complex tables which are easier to use and simpler to read by an user. ,NA
data_science_writings,TRUE,"[A dashboard related to traffic crash in Tempe, AZ]( https://mynewshinyapp.shinyapps.io/final-project-dashboard-Goel-2019/)",Flex Dashboard,NA,NA,2019,This was developed as a part of the graduate coursework.,"This is a dynamic dashboard related to traffic crashes in the town of Tempe,AZ.",This is the first ever dashboard developed by me. The dashboard allows the user to analyse crash data for various specified conditions. 
data_science_writings,TRUE,[A dashboard related to changes in housing prices]( https://rpubs.com/sunayna/579431),Dashboard,NA,NA,2019,This was developed as a part of the graduate coursework.,"This flex dashboard demonstrates cluster analysis for neighborhood changes in Dallas, TX using Census 2010 data.",The dashboard navigates through various stages of predictions. Statistical models are used to explore how changes in demographic variables relate to changes in housing prices at the county level. An attempt has been made to detect which cluster groups will be gentrified over the time period.
about_me_press,FALSE,[Great paper? Swipe right on the new ‘Tinder for preprints’ app](https://www.sciencemag.org/news/2017/06/great-paper-swipe-right-new-tinder-preprints-app),Science,N/A,2017,2017,Story of the app [Papr](https://jhubiostatistics.shinyapps.io/papr/) made with Jeff Leek and Lucy D’Agostino McGowan.,NA,NA
about_me_press,FALSE,[Swipe right for science: Papr app is ‘Tinder for preprints’](https://www.nature.com/news/swipe-right-for-science-papr-app-is-tinder-for-preprints-1.22163),Nature News,N/A,2017,2017,Second press article for app Papr.,NA,NA
about_me_press,FALSE,[The Deeper Story in the Data](https://www.uvm.edu/uvmnews/news/deeper-story-data),University of Vermont Quarterly,N/A,2016,2016,Story on my path post graduation and the power of narrative.,NA,NA
by_me_press,FALSE,[The Great Student Migration](https://www.nytimes.com/interactive/2016/08/26/us/college-student-migration.html?smid=pl-share),The New York Times,N/A,2016,2016,Most shared and discussed article from the New York Times for August 2016.,NA,NA
by_me_press,FALSE,"[Wildfires are Getting Worse, The New York Times](https://www.nytimes.com/interactive/2016/07/25/us/wildfire-seasons-los-angeles.html)",The New York Times,N/A,2016,2016,GIS analysis and modeling of fire patterns and trends,Data in collaboration with NASA and USGS,NA
by_me_press,FALSE,[Who’s Speaking at the Democratic National Convention?](https://www.nytimes.com/2016/07/26/upshot/democrats-may-not-be-unified-but-their-convention-speakers-are.html),The New York Times,N/A,2016,2016,Data scraped from CSPAN records to figure out who talked and past conventions.,NA,NA
by_me_press,FALSE,[Who’s Speaking at the Republican National Convention?](https://www.nytimes.com/2016/07/19/upshot/whos-not-speaking-how-this-republican-convention-differs.html?smid=pl-share),The New York Times,N/A,2016,2016,Used same data scraping techniques as Who’s Speaking at the Democratic National Convention?,NA,NA
by_me_press,FALSE,"[A Trail of Terror in Nice, Block by Block](https://www.nytimes.com/interactive/2016/07/14/world/europe/trail-of-terror-france.html)",The New York Times,N/A,2016,2016,"Led research effort to put together story of 2016 terrorist attack in Nice, France in less than 12 hours.","Work won Silver medal at Malofiej 2017, and gold at Society of News and Design.",NA
academic_articles,FALSE,Asymmetric Linkage Disequilibrium: Tools for Dissecting Multiallelic LD,Journal of Human Immunology,N/A,2015,2015,"Authored with Richard Single, Vanja Paunic, Mark Albrecht, and Martin Maiers.",NA,NA
academic_articles,FALSE,[An Agent Based Model of Mysis Migration](https://www.semanticscholar.org/paper/An-Agent-Based-Model-of-the-Diel-Vertical-Migration-Strayer-Stockwell/40493c78e8ecf22bd882d17ec99fd913ec4b9820),International Association of Great Lakes Research Conference,N/A,2015,2015,"Authored with Brian O'Malley, Sture Hansson, and Jason Stockwell.",NA,NA
academic_articles,FALSE,Declines of Mysis diluviana in the Great Lakes,Journal of Great Lakes Research,N/A,2015,2015,Authored with Peter Euclide and Jason Stockwell.,NA,NA
academic_articles,FALSE,[Continuous Classification using Deep Neural Networks](http://nickstrayer.me/qualifying_exam/),Vanderbilt Biostatistics Qualification Exam,N/A,2017,2017,Review of methods for classifying continuous data streams using neural networks,Successfully met qualifying examination standards,NA
academic_articles,FALSE,[Charge Reductions Associated with Shortening Time to Recovery in Septic Shock](https://www.ncbi.nlm.nih.gov/pubmed/30419234),Chest,N/A,2019,2019,"Authored with Wesley H. Self, MD MPH; Dandan Liu, PhD; Stephan Russ, MD, MPH; Michael J. Ward, MD, PhD, MBA; Nathan I. Shapiro, MD, MPH; Todd W. Rice, MD, MSc; Matthew W. Semler, MD, MSc.",NA,NA
academic_articles,FALSE,R timelineViz: Visualizing the distribution of study events in longitudinal studies,Under-Review (copy available upon request.),N/A,2018,2018,Authored with Alex Sunderman of the Vanderbilt Department of Epidemiology.,NA,NA
academic_articles,FALSE,[Multimorbidity Explorer | A shiny app for exploring EHR and biobank data](http://nickstrayer.me/rstudioconf19_me-poster/),RStudio::conf 2019,N/A,2019,2019,Contributed Poster. Authored with Yaomin Xu.,NA,NA
academic_articles,FALSE,[Taking a network view of EHR and Biobank data to find explainable multivariate patterns](http://nickstrayer.me/biostat_seminar/),Vanderbilt Biostatistics Seminar Series,N/A,2019,2019,University wide seminar series.,NA,NA
academic_articles,FALSE,Patient-specific risk factors independently influence survival in Myelodysplastic Syndromes in an unbiased review of EHR records,Under-Review (copy available upon request.),NA,NA,2019,Bayesian network analysis used to find novel subgroups of patients with Myelodysplastic Syndromes (MDS).,Analysis done using method built for my dissertation.,NA
academic_articles,FALSE,Patient specific comorbidities impact overall survival in myelofibrosis,Under-Review (copy available upon request.),NA,NA,2019,Bayesian network analysis used to find robust novel subgroups of patients with given genetic mutations.,Analysis done using method built for my dissertation.,NA
References,TRUE,Linda Capcara,"CEO,TechThinq",,,,Linda.capcara@techthinq.com,480-229 7090,
References,TRUE,Kathleen Mcdowell,Leona Group of Schools,,,,kathleen.mcdowell@leonagroup.com,480-726 9536,
